id,tytul,cena,cena_poprzednia,lokalizacja,data_dodania,url,status
160,JAK NOWY | APPLE IPHONE 14 128GB | Gwarancja 2 lata! | Różne kolory,1299.0,,Jastrzębie-Zdrój,10-05-2026,https://www.olx.pl/d/oferta/jak-nowy-apple-iphone-14-128gb-gwarancja-2-lata-rozne-kolory-CID99-ID12tqWD.html?search_reason=search%7Cpromoted,nowe
161,iPhone 14 Kondycja Baterii 86%,1000.0,,Rybnik,22-04-2026,https://www.olx.pl/d/oferta/iphone-14-kondycja-baterii-86-CID99-ID18oVDM.html?search_reason=search%7Corganic,nowe
162,John Hatter&CO case iphone 14 pro,100.0,,Opole,11-05-2026,https://www.olx.pl/d/oferta/john-hatter-co-case-iphone-14-pro-CID99-ID1aazuR.html?search_reason=search%7Corganic,nowe
163,Iphone 14 pro max 128gb srebrny,1800.0,,Zabrze,12-05-2026,https://www.olx.pl/d/oferta/iphone-14-pro-max-128gb-srebrny-CID99-ID1abb8C.html?search_reason=search%7Corganic,nowe
164,Sprzedam  telefon,1000.0,,Stargard,10-05-2026,https://www.olx.pl/d/oferta/sprzedam-telefon-CID99-ID1azjhN.html?search_reason=search%7Corganic,nowe
165,iPhone   14 Pro,2200.0,,Kartuzy,12-05-2026,https://www.olx.pl/d/oferta/iphone-14-pro-CID99-ID1aBoEO.html?search_reason=search%7Corganic,nowe
166,iPhone 14 Pro/128GB,1600.0,,"Warszawa, Mokotów",12-05-2026,https://www.olx.pl/d/oferta/iphone-14-pro-128gb-CID99-ID18CGr3.html?search_reason=search%7Corganic,nowe
167,iPhone 14 stan bardzo dobry,950.0,,"Szczecin, Centrum",19-04-2026,https://www.olx.pl/d/oferta/iphone-14-stan-bardzo-dobry-CID99-ID19uaIw.html?search_reason=search%7Corganic,nowe
168,Wyświetlacz iPhone 14 PRO MAX - 100% Oryginał,650.0,,Radomsko,12-05-2026,https://www.olx.pl/d/oferta/wyswietlacz-iphone-14-pro-max-100-oryginal-CID99-ID1auO7z.html?search_reason=search%7Corganic,nowe
169,Iphone 14 Plus 128GB,1500.0,,Bartniczka,12-05-2026,https://www.olx.pl/d/oferta/iphone-14-plus-128gb-CID99-ID192BxV.html?search_reason=search%7Corganic,nowe
170,Iphon 14 128 GB.,900.0,,Komorowo Żuławskie,18-04-2026,https://www.olx.pl/d/oferta/iphon-14-128-gb-CID99-ID1agFSn.html?search_reason=search%7Corganic,nowe
171,iPhone 14 Pro Max 128GB Kolory Bateria 90-100% 1 Rok Gwarancji Raty 0%,2249.0,,Kielce,11-05-2026,https://www.olx.pl/d/oferta/iphone-14-pro-max-128gb-kolory-bateria-90-100-1-rok-gwarancji-raty-0-CID99-IDZVfG6.html?search_reason=search%7Cpromoted,nowe
